,精确率,召回率,F1值,样本数
T恤/上衣,0.7886100386100386,0.817,0.8025540275049116,1000.0
裤子,0.9645748987854251,0.953,0.9587525150905433,1000.0
套头衫,0.7110675808031341,0.726,0.7184562097971301,1000.0
连衣裙,0.8112676056338028,0.864,0.8368038740920097,1000.0
外套,0.7209302325581395,0.775,0.7469879518072289,1000.0
凉鞋,0.9422680412371134,0.914,0.9279187817258884,1000.0
衬衫,0.6487179487179487,0.506,0.5685393258426966,1000.0
运动鞋,0.8931297709923665,0.936,0.9140625,1000.0
包,0.9178885630498533,0.939,0.9283242708848245,1000.0
短靴,0.9476861167002012,0.942,0.9448345035105316,1000.0
准确率,0.8372,0.8372,0.8372,0.8372
宏平均,0.8346140797088022,0.8371999999999999,0.8347233960255765,10000.0
加权平均,0.8346140797088023,0.8372,0.8347233960255765,10000.0
