,精确率,召回率,F1值,样本数
T恤/上衣,0.8256704980842912,0.862,0.8434442270058709,1000.0
裤子,0.9938080495356038,0.963,0.9781615033011681,1000.0
套头衫,0.7690086621751684,0.799,0.7837175085826386,1000.0
连衣裙,0.8810916179337231,0.904,0.8923988153998026,1000.0
外套,0.7662942271880819,0.823,0.793635486981678,1000.0
凉鞋,0.9785932721712538,0.96,0.9692074709742554,1000.0
衬衫,0.7079326923076923,0.589,0.6430131004366813,1000.0
运动鞋,0.9271844660194175,0.955,0.9408866995073891,1000.0
包,0.960552268244576,0.974,0.9672293942403177,1000.0
短靴,0.9535822401614531,0.945,0.9492717227523857,1000.0
准确率,0.8774,0.8774,0.8774,0.8774
宏平均,0.876371799382126,0.8774000000000001,0.8760965929182187,10000.0
加权平均,0.8763717993821262,0.8774,0.8760965929182188,10000.0
