,精确率,召回率,F1值,样本数
T恤/上衣,0.8136645962732919,0.786,0.7995930824008138,1000.0
裤子,0.9823651452282157,0.947,0.9643584521384929,1000.0
套头衫,0.7101167315175098,0.73,0.7199211045364892,1000.0
连衣裙,0.7470187393526405,0.877,0.8068077276908924,1000.0
外套,0.7067961165048544,0.728,0.7172413793103448,1000.0
凉鞋,0.9375639713408394,0.916,0.926656550328781,1000.0
衬衫,0.6265356265356266,0.51,0.5622932745314223,1000.0
运动鞋,0.9026290165530672,0.927,0.9146521953626048,1000.0
包,0.9115646258503401,0.938,0.9245933957614588,1000.0
短靴,0.9445005045408678,0.936,0.9402310396785535,1000.0
准确率,0.8295,0.8295,0.8295,0.8295
宏平均,0.8282755073697252,0.8295,0.8276348201739854,10000.0
加权平均,0.8282755073697252,0.8295,0.8276348201739853,10000.0
